Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
"Aaron ""Tex"" Johnson",Quentin Rosensweig,L,Inside heel hook,Kakuto 5,ABS,SPF,2015
"Aaron ""Tex"" Johnson",Neiman Gracie,L,RNC,NoGi Pan Ams,94KG,SF,2015
"Aaron ""Tex"" Johnson",Richie Martinez,L,Heel hook,Kakuto Challenge,ABS,SF,2015
"Aaron ""Tex"" Johnson",Leo Nogueira,L,Points,Atlanta W. Open,94KG,SF,2016
"Aaron ""Tex"" Johnson",Romulo Azevedo,L,N/A,UAEJJF NYC Pro,94KG,SF,2016
"Aaron ""Tex"" Johnson",Abraham Marte,L,Cross choke,UAEJJF NYC Pro,HWABS,4F,2016
"Aaron ""Tex"" Johnson",Andre Galvao,L,Choke,Pan American,ABS,R2,2016
"Aaron ""Tex"" Johnson",Joao Soares,L,Triangle,Boston Spring O.,100KG,F,2016
"Aaron ""Tex"" Johnson",Bernardo Faria,L,Triangle armbar,World Champ.,ABS,R2,2016
"Aaron ""Tex"" Johnson",Joao Rocha,L,Choke from back,BJJ Tour - CT,ABS,SF,2016
"Aaron ""Tex"" Johnson",Marcos Tinoco,L,Points,NY Summer Open,ABS,4F,2016
"Aaron ""Tex"" Johnson",Mike Hillebrand,L,Inside heel hook,EBI 8,84KG,R1,2016
"Aaron ""Tex"" Johnson",Dillon Danis,L,Arm in guillotine,NoGi Pan Ams,ABS,SF,2016
"Aaron ""Tex"" Johnson",Yuri Simoes,L,Pts: 19x0,NoGi Worlds,O97KG,SF,2016
"Aaron ""Tex"" Johnson",Leo Nogueira,L,Points,UAEJJF Orlando,110KG,F,2017
"Aaron ""Tex"" Johnson",Helton Jose,L,Pts: 10x0,Atlanta W. Open,ABS,SF,2017
"Aaron ""Tex"" Johnson",Jonathan Satava,L,Points,UAEJJF NY Pro,U110KG,4F,2017
"Aaron ""Tex"" Johnson",Keenan Cornelius,L,Points,LA National Pro,U110KG,F,2017
"Aaron ""Tex"" Johnson",Tanner Rice,L,Pts: 4x2,Pan American,94KG,8F,2017
"Aaron ""Tex"" Johnson",Gianni Grippo,L,Points,NY Spring No-Gi,ABS,F,2017
"Aaron ""Tex"" Johnson",Joao Rocha,L,Botinha,World Champ.,ABS,R1,2017
"Aaron ""Tex"" Johnson",Leandro Lo,L,Brabo choke,World Champ.,94KG,8F,2017
"Aaron ""Tex"" Johnson",Mahamed Aly,L,Calf slicer,NY S. No-Gi Open,O97KG,F,2017
"Aaron ""Tex"" Johnson",DJ Jackson,L,Points,NY S. No-Gi Open,ABS,SF,2017
"Aaron ""Tex"" Johnson",Gordon Ryan,L,Reverse triangle,Grappling Ind.,ABS,SF,2017
"Aaron ""Tex"" Johnson",Craig Jones,L,Inside heel hook,EBI 14,ABS,SF,2017
"Aaron ""Tex"" Johnson",Joao Assis,L,Pts: 2x0,NoGi Worlds,97KG,SF,2017
"Aaron ""Tex"" Johnson",Keenan Cornelius,L,RNC,NoGi Worlds,ABS,R1,2017
"Aaron ""Tex"" Johnson",Dany Gerard,L,Pts: 0x0,US National Pro,110KG,SF,2018
"Aaron ""Tex"" Johnson",Matt Leighton,L,Points,Continental Pro,110KG,RR,2018
"Aaron ""Tex"" Johnson",Tanner Rice,L,DQ,Marianas EP,O85KG,F,2018
"Aaron ""Tex"" Johnson",Tanner Rice,L,Pts: 7x2,Pan American,94KG,4F,2018
"Aaron ""Tex"" Johnson",Matt Leighton,L,Triangle armbar,F2W 73,93KG,SPF,2018
"Aaron ""Tex"" Johnson",Fellipe Trovo,L,Pts: 4x2,ACB North America,95KG,4F,2018
"Aaron ""Tex"" Johnson",Victor Silverio,L,Referee Decision,ACB North America,ABS,8F,2018
"Aaron ""Tex"" Johnson",Rafael Vasconcelos,L,DQ,Washington NGO,97KG,F,2018
"Aaron ""Tex"" Johnson",Diogo Sampaio,L,DQ,No Gi Pan Am.,ABS,8F,2018
"Aaron ""Tex"" Johnson",Max Gimenis,L,Pts: 6x0,NoGi Worlds,O97KG,4F,2018
"Aaron ""Tex"" Johnson",Yuri Simoes,L,Pts: 5x0,NoGi Worlds,ABS,R3,2018
"Aaron ""Tex"" Johnson",Keenan Cornelius,L,Pts: 34x0,Coast Grappling,ABS,SPF,2019
"Aaron ""Tex"" Johnson",Patrick Gaudio,L,Pts: 15x0,Pan American,94KG,4F,2019
"Aaron ""Tex"" Johnson",Kaynan Duarte,L,Pts: 6x1,Kasai 5,93KG,F,2019
"Aaron ""Tex"" Johnson",Mahamed Aly,L,Choke,World Champ.,100KG,R2,2019
"Aaron ""Tex"" Johnson",Craig Jones,L,RNC,KASAI SS Florida,92KG,SPF,2019
"Aaron ""Tex"" Johnson",Tim Spriggs,L,Referee Decision,F2W 119,100KG,SPF,2019
"Aaron ""Tex"" Johnson",Max Gimenis,L,Pts: 11x0,No Gi Pan Am.,O97KG,F,2019
"Aaron ""Tex"" Johnson",James Puopolo,L,Pts: 3x0,ADCC,99KG,R1,2019
"Aaron ""Tex"" Johnson",Marcus Almeida,L,Pts: 3x0,ADCC,ABS,4F,2019
"Aaron ""Tex"" Johnson",Kyle Boehm,L,EBI/OT,KOTM 7,ABS,F,2019
"Aaron ""Tex"" Johnson",Kyle Boehm,L,EBI/OT,BJJ Fanatics,ABS,SF,2019
"Aaron ""Tex"" Johnson",Victor Hugo,L,Triangle armbar,NoGi Worlds,ABS,R1,2019
"Aaron ""Tex"" Johnson",Freddy Vosgrone,L,Referee Decision,NoGi Worlds,97KG,4F,2019
"Aaron ""Tex"" Johnson",Gordon Ryan,L,Katagatame,Sub Stars,N/A,SPF,2020
"Aaron ""Tex"" Johnson",Rafael Vasconcelos,L,Pts: 3x0,Grand Slam MIA,94KG,SF,2020
"Aaron ""Tex"" Johnson",Fellipe Trovo,L,Triangle,Grand Slam MIA,94KG,3RD,2020
"Aaron ""Tex"" Johnson",Paulo Gabriel,L,Pts: 6x4,Pan American,ABS,R1,2020
"Aaron ""Tex"" Johnson",Guilherme Augusto,L,Arm in Ezekiel,Pan American,100KG,4F,2020
"Aaron ""Tex"" Johnson",Daishi Goto,L,DQ,NFC All Valley,ABS,SF,2020
"Aaron ""Tex"" Johnson",William Tackett,L,Katagatame,Subversiv 4,ABS,4F,2020
"Aaron ""Tex"" Johnson",Kaynan Duarte,L,Armbar,No Gi Pan Am.,97KG,F,2020
"Aaron ""Tex"" Johnson",Max Gimenis,L,Referee Decision,F2W 163,ABS,SPF,2021
"Aaron ""Tex"" Johnson",Vinicius Trator,L,Pts: 5x0,Orlando NGO,O91KG,F,2021
"Aaron ""Tex"" Johnson",Kaynan Duarte,L,Points,3CG 6 Absolute,ABS,4F,2021
"Aaron ""Tex"" Johnson",Matheus Gabriel,L,Pts: 2x0,N.Orleans NGO,ABS,4F,2021
"Aaron ""Tex"" Johnson",Victor Hugo,L,Pts: 2x2,NoGi Pan Am.,O97KG,F,2021
"Aaron ""Tex"" Johnson",Gustavo Batista,L,Referee Decision,F2W 176,N/A,SPF,2021
"Aaron ""Tex"" Johnson",Tim Spriggs,L,Referee Decision,WNO Champ.,ABS,SF,2021
"Aaron ""Tex"" Johnson",Vitor Schlosser,W,Toe hold,NY Summer Open,94KG,SF,2015
"Aaron ""Tex"" Johnson",Ricardo Bastos,W,Straight ankle lock,NY Summer Open,94KG,F,2015
"Aaron ""Tex"" Johnson",Joseph Cashin,W,Points,Grappling Ind.,ABS,SF,2016
"Aaron ""Tex"" Johnson",Gordon Ryan,W,Points,Grappling Ind.,ABS,F,2016
"Aaron ""Tex"" Johnson",Wellington Peroto,W,Straight ankle lock,UAEJJF NYC Pro,94KG,4F,2016
"Aaron ""Tex"" Johnson",Lincoln Pereira,W,Choke from back,Boston Spring O.,100KG,SF,2016
"Aaron ""Tex"" Johnson",Choi Choi,W,Pts: 0x0,World Champ.,ABS,R1,2016
"Aaron ""Tex"" Johnson",Leo Davila,W,Straight ankle lock,NoGi Pan Ams,O97KG,F,2016
"Aaron ""Tex"" Johnson",Samir Abdolkader,W,Flying armbar,NoGi Pan Ams,ABS,4F,2016
"Aaron ""Tex"" Johnson",Eliot Marshall,W,Toe hold,NoGi Worlds,O97KG,4F,2016
"Aaron ""Tex"" Johnson",Shaun Dufree,W,Toe hold,UAEJJF NY Pro,110KG,SF,2017
"Aaron ""Tex"" Johnson",William Nyman,W,Submission,LA National Pro,U110KG,SF,2017
"Aaron ""Tex"" Johnson",Daniel Richards,W,Points,NY Spring Open,O100KG,SF,2017
"Aaron ""Tex"" Johnson",Christian Simmerling,W,Points,NY Spring Open,O100KG,F,2017
"Aaron ""Tex"" Johnson",Joao Paulo,W,Points,NY Spring No-Gi,ABS,SF,2017
"Aaron ""Tex"" Johnson",Josh Bowlin,W,Pts: 7x6,World Champ.,94KG,R1,2017
"Aaron ""Tex"" Johnson",Kaliffa Oliviera,W,Referee Decision,F2W 36,94KG,SPF,2017
"Aaron ""Tex"" Johnson",Kory Acchione,W,Referee Decision,F2W 43,N/A,SPF,2017
"Aaron ""Tex"" Johnson",Leo Davilla,W,Armbar,Atlanta SM NGO,97KG,F,2017
"Aaron ""Tex"" Johnson",Taniel Santos,W,Straight ankle lock,Atlanta SM NGO,ABS,F,2017
"Aaron ""Tex"" Johnson",Oleksandr Karliychuk,W,Straight ankle lock,No Gi Pan Am.,O97KG,SF,2017
"Aaron ""Tex"" Johnson",Matt Leighton,W,Referee Decision,No Gi Pan Am.,O97KG,F,2017
"Aaron ""Tex"" Johnson",Matt Kirchwhem,W,EBI/OT,EBI 14,ABS,R1,2017
"Aaron ""Tex"" Johnson",A. Kimler,W,Armbar,EBI 14,ABS,4F,2017
"Aaron ""Tex"" Johnson",Paul Ardila,W,Pts: 4x0,NoGi Worlds,97KG,4F,2017
"Aaron ""Tex"" Johnson",Vitor Schlosser,W,Choke from back,US National Pro,110KG,3RD,2018
"Aaron ""Tex"" Johnson",Gilvan Costa,W,Straight ankle lock,Atlanta W. Open,94KG,SF,2018
"Aaron ""Tex"" Johnson",Inacio Neto,W,Kneebar,Atlanta W. Open,94KG,F,2018
"Aaron ""Tex"" Johnson",Kenneth Brown,W,Pts: 4x2,Continental Pro,110KG,RR,2018
"Aaron ""Tex"" Johnson",Frisco DeLeon,W,Adv,Marianas EP,O85KG,SF,2018
"Aaron ""Tex"" Johnson",Rodrigo Freitas,W,Calf slicer,Pan American,ABS,R1,2018
"Aaron ""Tex"" Johnson",Tanner Rice,W,Kneebar,Pan American,ABS,R2,2018
"Aaron ""Tex"" Johnson",Wellington Peroto,W,Straight ankle lock,Pan American,94KG,8F,2018
"Aaron ""Tex"" Johnson",Thiago Jiuliani,W,Points,NY Spring Open,100KG,SF,2018
"Aaron ""Tex"" Johnson",Nicholas Penzer,W,Straight ankle lock,NY Spring Open,100KG,F,2018
"Aaron ""Tex"" Johnson",Roberto Torralbas,W,Pts: 2x0,No Gi Pan Am.,97KG,SF,2018
"Aaron ""Tex"" Johnson",Jackson Sousa,W,Footlock,No Gi Pan Am.,97KG,F,2018
"Aaron ""Tex"" Johnson",Tom deBlass,W,Referee Decision,F2W 91,ABS,SPF,2018
"Aaron ""Tex"" Johnson",Riley Mccormick,W,Reverse triangle,ADCC EC Trials,O99KG,R1,2018
"Aaron ""Tex"" Johnson",JeQuan Williamson,W,Triangle armbar,ADCC EC Trials,O99KG,4F,2018
"Aaron ""Tex"" Johnson",Andrew Tevay,W,Kneebar,ADCC EC Trials,O99KG,SF,2018
"Aaron ""Tex"" Johnson",Hudson Taylor,W,Kneebar,ADCC EC Trials,O99KG,F,2018
"Aaron ""Tex"" Johnson",Kevin Gallager,W,Points,Gamblers Inv.,ABS,SPF,2018
"Aaron ""Tex"" Johnson",Satoshi Ishii,W,Triangle,NoGi Worlds,O97KG,R1,2018
"Aaron ""Tex"" Johnson",Ben Hodgkinson,W,Straight ankle lock,NoGi Worlds,ABS,R1,2018
"Aaron ""Tex"" Johnson",David Garmo,W,Pts: 10x2,NoGi Worlds,ABS,R2,2018
"Aaron ""Tex"" Johnson",Ricardo Abreu,W,Pts: 1x0,Kasai Dallas,94KG,SPF,2019
"Aaron ""Tex"" Johnson",Gustavo Andrade,W,Straight ankle lock,Portland Open,ABS,SF,2019
"Aaron ""Tex"" Johnson",Nisar Loynab,W,Straight ankle lock,Portland Open,ABS,F,2019
"Aaron ""Tex"" Johnson",Matt Leighton,W,Straight ankle lock,SubSpectrum,ABS,SPF,2019
"Aaron ""Tex"" Johnson",M Sturua,W,Choke from back,Pan American,94KG,8F,2019
"Aaron ""Tex"" Johnson",Jackson Sousa,W,Inside heel hook,Kasai 5,93KG,RR,2019
"Aaron ""Tex"" Johnson",Valdir Araujo,D,---,Kasai 5,93KG,RR,2019
"Aaron ""Tex"" Johnson",Felipe Pena,W,Inside heel hook,Kasai 5,93KG,RR,2019
"Aaron ""Tex"" Johnson",Lucasz Gustaw,W,Mounted choke,World Champ.,100KG,R1,2019
"Aaron ""Tex"" Johnson",Paulo Brasil,W,Submission,No Gi Pan Am.,O97KG,SF,2019
"Aaron ""Tex"" Johnson",Briean Beaury,W,Armlock,No Gi Pan Am.,ABS,8F,2019
"Aaron ""Tex"" Johnson",Todd Mueckenheim,W,Kimura,No Gi Pan Am.,ABS,4F,2019
"Aaron ""Tex"" Johnson",Jon Blank,W,Straight ankle lock,ADCC,ABS,R1,2019
"Aaron ""Tex"" Johnson",Viktor Vaughn,W,Heel hook,KOTM 7,ABS,R1,2019
"Aaron ""Tex"" Johnson",Guybson Sa,W,Heel hook,KOTM 7,ABS,4F,2019
"Aaron ""Tex"" Johnson",Quentin Rosenzweig,W,Kneebar,KOTM 7,ABS,SF,2019
"Aaron ""Tex"" Johnson",Keith Krikorian,W,EBI/OT,BJJ Fanatics,ABS,R1,2019
"Aaron ""Tex"" Johnson",William Vincent,W,Straignt ankle lock,BJJ Fanatics,ABS,R2,2019
"Aaron ""Tex"" Johnson",William Tackett,W,EBI/OT,BJJ Fanatics,ABS,4F,2019
"Aaron ""Tex"" Johnson",Angelo Claiborne,W,Straight ankle lock,Miami WO,ABS,SF,2020
"Aaron ""Tex"" Johnson",Michael Egley,W,Straight ankle lock,SUBVERSIV 3,ABS,R1,2020
"Aaron ""Tex"" Johnson",Rafael Lovato,W,Referee Decision,F2W 151,126KG,SPF,2020
"Aaron ""Tex"" Johnson",Bruno Assis,W,Pts: 2x1,Grand Slam MIA,94KG,4F,2020
"Aaron ""Tex"" Johnson",Eric Schlosser,W,DQ,Grand Slam MIA,94KG,RPC,2020
"Aaron ""Tex"" Johnson",Don Scozzari,W,Kneebar,NFC All Valley,ABS,4F,2020
"Aaron ""Tex"" Johnson",Fellipe Trovo,W,Referee Decision,Subversiv 4,ABS,R1,2020
"Aaron ""Tex"" Johnson",Arnaldo Maidana,W,Straight ankle lock,No Gi Pan Am.,97KG,SF,2020
"Aaron ""Tex"" Johnson",Arnaldo Maidana,W,Violin armlock,F2W 161,94KG,SPF,2021
"Aaron ""Tex"" Johnson",Jackson Douglas,W,Violin armlock,Dallas NGO,O97KG,RR,2021
"Aaron ""Tex"" Johnson",Joe Dierkhising,W,Pts: 2x2,Dallas NGO,O97KG,F,2021
"Aaron ""Tex"" Johnson",Rida Haisam,W,Pts: 0x0,Dallas NGO,ABS,4F,2021
"Aaron ""Tex"" Johnson",David Garmo,W,Kneebar,Dallas NGO,ABS,F,2021
"Aaron ""Tex"" Johnson",Alexandre Bueno,W,Pts: 0x0,Orlando NGO,O91KG,SF,2021
"Aaron ""Tex"" Johnson",Damon Morgan,W,Kneebar,Orlando NGO,ABS,4F,2021
"Aaron ""Tex"" Johnson",Pedro Palhares,W,N/A,Orlando NGO,ABS,SF,2021
"Aaron ""Tex"" Johnson",Giancarlo Bodoni,W,Outside heel hook,Orlando NGO,ABS,F,2021
"Aaron ""Tex"" Johnson",John Hansen,W,Estima lock,NoGi Pan Am.,O97KG,SF,2021
"Aaron ""Tex"" Johnson",Lucas Barbosa,W,Referee Decision,F2W 174,N/A,SPF,2021
"Aaron ""Tex"" Johnson",Orlando Sanchez,W,DQ,WNO Champ.,ABS,4F,2021
Abdurakhman Bilarov,Erberth Santos,L,Referee Decision,Berkut 3,ABS,SPF,2016
Abdurakhman Bilarov,Felipe Pena,L,Pts: 8x2,World Pro,94KG,4F,2017
Abdurakhman Bilarov,Erberth Santos,L,Referee Decision,ACBJJ 5,95KG,SF,2017
Abdurakhman Bilarov,Helton Jose,L,DQ,ACBJJ World,94KG,SF,2017
Abdurakhman Bilarov,Felipe Pena,L,Pts: 5x0,ADCC,99KG,4F,2017
Abdurakhman Bilarov,Felipe Pena,L,Arm in guillotine,ACB JJ 9,95KG,F,2017
Abdurakhman Bilarov,Yuri Simoes,L,Referee Decision,ACB 10,95KG,SPF,2018
Abdurakhman Bilarov,Igor Silva,L,Points,ACBJJ 14,95KG,SPF,2018
Abdurakhman Bilarov,Erberth Santos,L,Kneebar,World Pro,94KG,4F,2019
Abdurakhman Bilarov,Gustavo Batista,L,Pts: 5x0,ACB World Champ.,95KG,4F,2019
Abdurakhman Bilarov,Claudio Calasans,W,Pts: 4x2,Berkut Open,ABS,F,2015
Abdurakhman Bilarov,Jackson Sousa,W,Heel hook,Berkut 2,ABS,SPF,2015
Abdurakhman Bilarov,Ilya Bogoslovsky,W,Kimura,Russia Nat. Pro,94KG,SF,2016
Abdurakhman Bilarov,Abdulbary Guseinov,W,Points,Russia Nat. Pro,94KG,SF,2016
Abdurakhman Bilarov,Jackson Jacinto,W,Armbar,VIC Fight,92KG,F,2017
Abdurakhman Bilarov,Jongmok Kim,W,Pts: 0x0,World Pro,94KG,RPC,2017
Abdurakhman Bilarov,Basel Fanous,W,Pts: 2x2,World Pro,94KG,RPC,2017
Abdurakhman Bilarov,Rodrigo Cavaca,W,Referee Decision,ACBJJ 5,95KG,4F,2017
Abdurakhman Bilarov,Luc Rousseau,W,Heel hook,ADCC EU Trials,95KG,4F,2017
Abdurakhman Bilarov,Otto Kuikka,W,Heel hook,ADCC EU Trials,95KG,SF,2017
Abdurakhman Bilarov,Mraz Avdoyan,W,RNC,ADCC EU Trials,95KG,F,2017
Abdurakhman Bilarov,Vitor Toledo,W,Points,ACBJJ World,94KG,3RD,2017
Abdurakhman Bilarov,Jake Shields,W,Pts: 5x0,ADCC,99KG,E1,2017
Abdurakhman Bilarov,Jackson Sousa,W,Heel hook,ACB JJ 9,95KG,4F,2017
Abdurakhman Bilarov,Erberth Santos,W,Heel hook,ACB JJ 9,95KG,SF,2017
Abdurakhman Bilarov,Kazhigali Tuleshev,W,Armbar,UWW NG World,100KG,4F,2018
Abdurakhman Bilarov,Andrii Haleta,W,Katagatame,UWW NG World,100KG,SF,2018
Abdurakhman Bilarov,Kamil Umiski,W,Darce choke,UWW NG World,100KG,F,2018
Abdurakhman Bilarov,A. Ghitta,W,Mounted triangle,UWW European,100KG,4F,2019
Abdurakhman Bilarov,Andrii Haleta,W,RNC,UWW European,100KG,SF,2019
Abdurakhman Bilarov,T. Galimov,W,RNC,UWW European,100KG,F,2019
Abdurakhman Bilarov,Nicolas Penzer,W,Pts: 7x2,World Pro,94KG,RPC,2019
Abraham Marte,R. Evangelista,L,Adv,Brasileiro,O100KG,SF,2013
Abraham Marte,Andre Galvao,L,Kneebar,World Champ.,ABS,RDS,2013
Abraham Marte,Rodrigo Cavaca,L,DQ,World Champ.,O100KG,SF,2013
Abraham Marte,Victor Estima,L,Estima lock,Pan American,ABS,R3,2014
Abraham Marte,Andre Galvao,L,Choke from back,Pan American,O100KG,SF,2014
Abraham Marte,Lucas Lepri,L,Armbar,WP Montreal,ABS,SF,2014
Abraham Marte,Andre Galvao,L,wristlock,World Pro.,ABS,R2,2014
Abraham Marte,Bernardo Faria,L,Armbar,World Champ.,ABS,R3,2014
Abraham Marte,Alexander Trans,L,Pts: 2x0,World Champ.,O100KG,4F,2014
Abraham Marte,Gabriel Lucas,L,Pts: 3x0,No Gi Pan Am.,O100KG,F,2014
Abraham Marte,AJ Agazarm,L,Pts: 4x2,No Gi Pan Am.,ABS,SF,2014
Abraham Marte,Keenan Cornelius,L,Pts: 2x2,NoGi Worlds,ABS,RDS,2014
Abraham Marte,Yuri Simoes,L,Points,NoGi Worlds,O100KG,SF,2014
Abraham Marte,Bernardo Faria,L,Kneebar,NYC Pro,O100KG,F,2014
Abraham Marte,Claudio Calasans,L,Pts: 5x4,Asian Open,ABS,F,2014
Abraham Marte,James Puopolo,L,Pts: 7x4,Pan American,O100KG,4F,2015
Abraham Marte,Alexander Trans,L,Kneebar,World Champ.,ABS,SF,2015
Abraham Marte,Joao Assis,L,Heel hook,FIVE SL,ABS,4F,2015
Abraham Marte,Joao Rocha,L,Pts: 3x0,ADCC,O99KG,4F,2015
Abraham Marte,Jonathan Satava,L,Pts: 3x0,US National Pro,ABS,F,2016
Abraham Marte,Thiago Sa,L,Pts: 4x0,UAEJJF NYC Pro,HWABS,SF,2016
Abraham Marte,Romulo Azevedo,L,Pts: 5x2,UAEJJF NYC Pro,HWABS,3RD,2016
Abraham Marte,Dany Gerard,L,Choke,Pan American,O100KG,4F,2016
Abraham Marte,Leo Nogueira,L,Pts: 6x0,Pan American,ABS,8F,2016
Abraham Marte,Mahamed Aly,L,N/A,NY BJJ Pro,O94KG,SF,2016
Abraham Marte,Daniel Garcia,W,Kimura,Team Nationals,O88KG,NA,2012
Abraham Marte,Tiago Reinaldo,W,Ezekiel,Brasileiro,O100KG,R1,2013
Abraham Marte,C. de Plastico,W,Points,Brasileiro,O100KG,4F,2013
Abraham Marte,Max Freitas,W,Triangle armbar,World Champ.,ABS,RDS,2013
Abraham Marte,Renato Cardoso,W,Bow and arrow,World Champ.,ABS,RDS,2013
Abraham Marte,Orlando Sanchez,W,Pts: 8x0,World Champ.,O100KG,R1,2013
Abraham Marte,R. Evangelista,W,Pts: 2x0,World Champ.,O100KG,4F,2013
Abraham Marte,Tiago Giussani,W,Choke,Pan American,ABS,R2,2014
Abraham Marte,Tiago Giussani,W,Triangle,WP Montreal,O100KG,R1,2014
Abraham Marte,Unknown,W,Triangle,WP Montreal,O100KG,4F,2014
Abraham Marte,Unknown,W,Kimura,WP Montreal,O100KG,SF,2014
Abraham Marte,Keneth Brown,W,Armbar,WP Montreal,O100KG,F,2014
Abraham Marte,Tanner Rice,W,Cross choke,WP Montreal,ABS,4F,2014
Abraham Marte,Martin Ottaviano,W,Choke,Copa Podio,ABS,SPF,2014
Abraham Marte,Igor Silva,W,Points,World Pro.,ABS,R1,2014
Abraham Marte,Raphael Goulart,W,Choke,World Champ.,ABS,R2,2014
Abraham Marte,R. Goulart,W,Bow and arrow,World Champ.,ABS,R2,2014
Abraham Marte,Unknown,W,Triangle,World Champ.,O100KG,R1,2014
Abraham Marte,Kitner Moura,W,Armbar,World Champ.,O100KG,R2,2014
Abraham Marte,Bruno Bastos,W,Triangle,No Gi Pan Am.,O100KG,SF,2014
Abraham Marte,Gabriel Toribio,W,DQ,No Gi Pan Am.,ABS,R1,2014
Abraham Marte,Enrique Coco,W,Pts: 4x0,No Gi Pan Am.,ABS,4F,2014
Abraham Marte,Gabriel Vieira,W,Pts: 2x0,NoGi Worlds,O100KG,4F,2014
Abraham Marte,Kenneth Brown,W,Triangle,NYC Pro,O100KG,SF,2014
Abraham Marte,Unknown,W,Choke,Asian Open,ABS,4F,2014
Abraham Marte,Rodrigo Caporal,W,Pts: 10x0,Asian Open,ABS,SF,2014
Abraham Marte,Charles Gaspar,W,Brabo choke,Asian Open,O100KG,F,2014
Abraham Marte,Daniel Tsatsos,W,Triangle,Pan American,O100KG,R1,2015
Abraham Marte,Arnaldo Maidana,W,Triangle,World Champ.,ABS,R1,2015
Abraham Marte,Leo Nogueira,W,Armbar,World Champ.,ABS,8F,2015
Abraham Marte,Keneth Brown,W,Armbar,World Champ.,O100KG,8F,2015
Abraham Marte,Juskowiak Mateusz,W,Triangle w/ arm,ADCC,O99KG,R1,2015
Abraham Marte,Jason Lees,W,Short choke,NoGi Pan Ams,O100KG,SF,2015
Abraham Marte,Gustavo Dias,W,Pts: 2x2,NoGi Pan Ams,O100KG,F,2015
Abraham Marte,Q. Rosenzweig,W,Choke from mount,US National Pro,ABS,SF,2016
Abraham Marte,Mahamed Aly,W,Pts: 0x0,UAEJJF NYC Pro,O94KG,RR,2016
Abraham Marte,Luiz Panza,W,Referee Decision,UAEJJF NYC Pro,O94KG,RR,2016
Abraham Marte,Tex Johnson,W,Cross choke,UAEJJF NYC Pro,HWABS,4F,2016
Abraham Marte,Pablo Lemos,W,Pts: 4x4,Pan American,O100KG,8F,2016
Abraham Marte,Manuel Ribamar,W,Kimura,Pan American,ABS,R2,2016
Adam Benayoun,Chris Kriebel,L,Referee Decision,Atlanta W. Open,70KG,4F,2018
Adam Benayoun,Thiago Macedo,L,Points,Chicago Sp. Open,70KG,SF,2018
Adam Benayoun,Frederico Alves,L,Pts: 2x2,Washington SPO,70KG,4F,2018
Adam Benayoun,Silvio Duran,L,Pts: 8x6,Atlanta Sp. Open,70KG,F,2018
Adam Benayoun,Thomas Keenan,L,Arm in Ezekiel,Atlanta Sp. Open,ABS,SF,2018
Adam Benayoun,Matheus Gonzaga,L,Points,Boston SMO,70KG,F,2018
Adam Benayoun,Pablo Mantovani,L,Kneebar,No Gi Pan Am.,67KG,SF,2018
Adam Benayoun,Paulo Miyao,L,Pts: 9x4,Miami FO,70KG,F,2018
Adam Benayoun,Felipe Linhares,L,Choke from back,Charlotte Open,70KG,F,2018
Adam Benayoun,T. Ruotolo,L,Referee Decision,ADCC EC Trials,66KG,4F,2018
Adam Benayoun,Thiago Macedo,L,Referee Decision,NoGi Worlds,67KG,R2,2018
Adam Benayoun,Matheus Gonzaga,L,Adv,Atlanta WO,70KG,SF,2019
Adam Benayoun,Gabriel Sousa,L,Points,US Continental,69KG,F,2019
Adam Benayoun,Igor Mocaiber,L,Referee Decision,Canada Pro,ABS,SF,2019
Adam Benayoun,Yuta Shimada,L,Referee Decision,Atlanta WO,70KG,F,2020
Adam Benayoun,Silvio Duran,L,N/A,Kansas Open,70KG,SF,2020
Adam Benayoun,Thiago Macedo,L,50/50 armbar,Pan American,70KG,8F,2020
Adam Benayoun,Francisco Cuneo,L,Referee Decision,No Gi Pan Am.,73KG,4F,2020
Adam Benayoun,Diego Oliveira,L,Pts: 0x0,NoGi Worlds,67KG,4F,2021
Adam Benayoun,Junny Ocasio,L,Referee Decision,ADCC EC Trials,66KG,R4,2021
Adam Benayoun,Kieran Kichuk,L,EBI/OT,Emerald City,70KG,F,2022
Adam Benayoun,Josh Cisneros,L,Referee Decision,ADCC WC Trials,66KG,8F,2022
Adam Benayoun,Gavin Corbe,L,Pts: 0x0,NoGi Pan,67KG,F,2022
Adam Benayoun,Gavin Corbe,L,Referee Decision,NoGi Worlds,67KG,4F,2022
Adam Benayoun,Reuben Sagman,W,Triangle,Canada Nat. Pro,69KG,SF,2018
Adam Benayoun,Thiago Barbosa,W,Pts: 0x0,Canada Nat. Pro,69KG,F,2018
Adam Benayoun,Chris Bumgardner,W,Triangle,Copa Virginia,76KG,SF,2018
Adam Benayoun,Scott Dance,W,Omoplata,Copa Virginia,76KG,F,2018
Adam Benayoun,Fred Alves,W,Pts: 2x2,Atlanta Sp. Open,70KG,SF,2018
Adam Benayoun,Christopher Carmo,W,Pts: 12x8,Atlanta Sp. Open,ABS,4F,2018
Adam Benayoun,Silvio Duran,W,Adv,NY Spring Open,70KG,4F,2018
Adam Benayoun,Tiago Ribeiro,W,Triangle,NY Spring Open,70KG,SF,2018
Adam Benayoun,Matheus Gonzaga,W,Adv,NY Spring Open,70KG,F,2018
Adam Benayoun,Joshua Presley,W,N/A,Boston SMO,70KG,SF,2018
